,local_wandering,local_greedy_swap_vertices_in_cycle,local_greedy_swap_edges_in_cycle,local_steep_swap_vertices_in_cycle,local_steep_swap_edges_in_cycle
kroa100,"[170751.0, 145324, 188190, 3.0, 2.0, 4.0]","[44873.0, 36326, 51819, 1.0, 0.0, 1.0]","[28990.0, 25214, 32149, 1.0, 0.0, 1.0]","[45204.0, 34170, 53212, 2.0, 1.0, 3.0]","[28611.0, 22302, 32893, 3.0, 2.0, 4.0]"
krob100,"[169098.0, 146930, 190895, 3.0, 2.0, 3.0]","[43959.0, 37734, 51773, 1.0, 0.0, 1.0]","[29342.0, 25101, 32758, 1.0, 0.0, 1.0]","[44881.0, 37369, 52742, 2.0, 1.0, 3.0]","[29092.0, 24602, 32250, 3.0, 2.0, 4.0]"
