,local_wandering,local_greedy_swap_vertices_in_cycle,local_greedy_swap_edges_in_cycle,local_steep_swap_vertices_in_cycle,local_steep_swap_edges_in_cycle
kroa100,"[171655.0, 151429, 191132, 2.0, 2.0, 3.0]","[25800.0, 22815, 30585, 0.0, 0.0, 1.0]","[24413.0, 21993, 27931, 0.0, 0.0, 0.0]","[25668.0, 22815, 29279, 0.0, 0.0, 0.0]","[24359.0, 22169, 27691, 0.0, 0.0, 1.0]"
krob100,"[169605.0, 152542, 185139, 2.0, 2.0, 3.0]","[28295.0, 24559, 32243, 0.0, 0.0, 0.0]","[26896.0, 23104, 29468, 0.0, 0.0, 0.0]","[28153.0, 24165, 32622, 0.0, 0.0, 1.0]","[26921.0, 23525, 29362, 0.0, 0.0, 1.0]"
